n,schedule,basis,rounds,idle,cnot_depth,undetected_single_fault_signatures,circuit_fault_distance
6,dedicated,X,1,False,8,0,2
6,dedicated,X,1,True,8,0,2
6,dedicated,X,2,False,8,0,2
6,dedicated,X,2,True,8,0,2
6,dedicated,X,3,False,8,0,2
6,dedicated,X,3,True,8,0,2
6,dedicated,Z,1,False,8,0,2
6,dedicated,Z,1,True,8,0,2
6,dedicated,Z,2,False,8,0,2
6,dedicated,Z,2,True,8,0,2
6,dedicated,Z,3,False,8,0,2
6,dedicated,Z,3,True,8,0,2
6,coloration,X,1,False,8,0,2
6,coloration,X,1,True,8,0,2
6,coloration,X,2,False,8,0,2
6,coloration,X,2,True,8,0,2
6,coloration,X,3,False,8,0,2
6,coloration,X,3,True,8,0,2
6,coloration,Z,1,False,8,0,2
6,coloration,Z,1,True,8,0,2
6,coloration,Z,2,False,8,0,2
6,coloration,Z,2,True,8,0,2
6,coloration,Z,3,False,8,0,2
6,coloration,Z,3,True,8,0,2
8,dedicated,X,1,False,10,0,2
8,dedicated,X,1,True,10,0,2
8,dedicated,X,2,False,10,0,2
8,dedicated,X,2,True,10,0,2
8,dedicated,X,3,False,10,0,2
8,dedicated,X,3,True,10,0,2
8,dedicated,Z,1,False,10,0,2
8,dedicated,Z,1,True,10,0,2
8,dedicated,Z,2,False,10,0,2
8,dedicated,Z,2,True,10,0,2
8,dedicated,Z,3,False,10,0,2
8,dedicated,Z,3,True,10,0,2
8,coloration,X,1,False,12,1,1
8,coloration,X,1,True,12,1,1
8,coloration,X,2,False,12,1,1
8,coloration,X,2,True,12,1,1
8,coloration,X,3,False,12,1,1
8,coloration,X,3,True,12,1,1
8,coloration,Z,1,False,12,1,1
8,coloration,Z,1,True,12,1,1
8,coloration,Z,2,False,12,1,1
8,coloration,Z,2,True,12,1,1
8,coloration,Z,3,False,12,1,1
8,coloration,Z,3,True,12,1,1
10,dedicated,X,1,False,12,0,2
10,dedicated,X,1,True,12,0,2
10,dedicated,X,2,False,12,0,2
10,dedicated,X,2,True,12,0,2
10,dedicated,X,3,False,12,0,2
10,dedicated,X,3,True,12,0,2
10,dedicated,Z,1,False,12,0,2
10,dedicated,Z,1,True,12,0,2
10,dedicated,Z,2,False,12,0,2
10,dedicated,Z,2,True,12,0,2
10,dedicated,Z,3,False,12,0,2
10,dedicated,Z,3,True,12,0,2
10,coloration,X,1,False,16,2,1
10,coloration,X,1,True,16,2,1
10,coloration,X,2,False,16,2,1
10,coloration,X,2,True,16,2,1
10,coloration,X,3,False,16,2,1
10,coloration,X,3,True,16,2,1
10,coloration,Z,1,False,16,2,1
10,coloration,Z,1,True,16,2,1
10,coloration,Z,2,False,16,2,1
10,coloration,Z,2,True,16,2,1
10,coloration,Z,3,False,16,2,1
10,coloration,Z,3,True,16,2,1
12,dedicated,X,1,False,14,0,2
12,dedicated,X,1,True,14,0,2
12,dedicated,X,2,False,14,0,2
12,dedicated,X,2,True,14,0,2
12,dedicated,X,3,False,14,0,2
12,dedicated,X,3,True,14,0,2
12,dedicated,Z,1,False,14,0,2
12,dedicated,Z,1,True,14,0,2
12,dedicated,Z,2,False,14,0,2
12,dedicated,Z,2,True,14,0,2
12,dedicated,Z,3,False,14,0,2
12,dedicated,Z,3,True,14,0,2
12,coloration,X,1,False,20,3,1
12,coloration,X,1,True,20,3,1
12,coloration,X,2,False,20,3,1
12,coloration,X,2,True,20,3,1
12,coloration,X,3,False,20,3,1
12,coloration,X,3,True,20,3,1
12,coloration,Z,1,False,20,3,1
12,coloration,Z,1,True,20,3,1
12,coloration,Z,2,False,20,3,1
12,coloration,Z,2,True,20,3,1
12,coloration,Z,3,False,20,3,1
12,coloration,Z,3,True,20,3,1
14,dedicated,X,1,False,16,0,2
14,dedicated,X,1,True,16,0,2
14,dedicated,X,2,False,16,0,2
14,dedicated,X,2,True,16,0,2
14,dedicated,X,3,False,16,0,2
14,dedicated,X,3,True,16,0,2
14,dedicated,Z,1,False,16,0,2
14,dedicated,Z,1,True,16,0,2
14,dedicated,Z,2,False,16,0,2
14,dedicated,Z,2,True,16,0,2
14,dedicated,Z,3,False,16,0,2
14,dedicated,Z,3,True,16,0,2
14,coloration,X,1,False,24,4,1
14,coloration,X,1,True,24,4,1
14,coloration,X,2,False,24,4,1
14,coloration,X,2,True,24,4,1
14,coloration,X,3,False,24,4,1
14,coloration,X,3,True,24,4,1
14,coloration,Z,1,False,24,4,1
14,coloration,Z,1,True,24,4,1
14,coloration,Z,2,False,24,4,1
14,coloration,Z,2,True,24,4,1
14,coloration,Z,3,False,24,4,1
14,coloration,Z,3,True,24,4,1
16,dedicated,X,1,False,18,0,2
16,dedicated,X,1,True,18,0,2
16,dedicated,X,2,False,18,0,2
16,dedicated,X,2,True,18,0,2
16,dedicated,X,3,False,18,0,2
16,dedicated,X,3,True,18,0,2
16,dedicated,Z,1,False,18,0,2
16,dedicated,Z,1,True,18,0,2
16,dedicated,Z,2,False,18,0,2
16,dedicated,Z,2,True,18,0,2
16,dedicated,Z,3,False,18,0,2
16,dedicated,Z,3,True,18,0,2
16,coloration,X,1,False,28,5,1
16,coloration,X,1,True,28,5,1
16,coloration,X,2,False,28,5,1
16,coloration,X,2,True,28,5,1
16,coloration,X,3,False,28,5,1
16,coloration,X,3,True,28,5,1
16,coloration,Z,1,False,28,5,1
16,coloration,Z,1,True,28,5,1
16,coloration,Z,2,False,28,5,1
16,coloration,Z,2,True,28,5,1
16,coloration,Z,3,False,28,5,1
16,coloration,Z,3,True,28,5,1
18,dedicated,X,1,False,20,0,2
18,dedicated,X,1,True,20,0,2
18,dedicated,X,2,False,20,0,2
18,dedicated,X,2,True,20,0,2
18,dedicated,X,3,False,20,0,2
18,dedicated,X,3,True,20,0,2
18,dedicated,Z,1,False,20,0,2
18,dedicated,Z,1,True,20,0,2
18,dedicated,Z,2,False,20,0,2
18,dedicated,Z,2,True,20,0,2
18,dedicated,Z,3,False,20,0,2
18,dedicated,Z,3,True,20,0,2
18,coloration,X,1,False,32,6,1
18,coloration,X,1,True,32,6,1
18,coloration,X,2,False,32,6,1
18,coloration,X,2,True,32,6,1
18,coloration,X,3,False,32,6,1
18,coloration,X,3,True,32,6,1
18,coloration,Z,1,False,32,6,1
18,coloration,Z,1,True,32,6,1
18,coloration,Z,2,False,32,6,1
18,coloration,Z,2,True,32,6,1
18,coloration,Z,3,False,32,6,1
18,coloration,Z,3,True,32,6,1
20,dedicated,X,1,False,22,0,2
20,dedicated,X,1,True,22,0,2
20,dedicated,X,2,False,22,0,2
20,dedicated,X,2,True,22,0,2
20,dedicated,X,3,False,22,0,2
20,dedicated,X,3,True,22,0,2
20,dedicated,Z,1,False,22,0,2
20,dedicated,Z,1,True,22,0,2
20,dedicated,Z,2,False,22,0,2
20,dedicated,Z,2,True,22,0,2
20,dedicated,Z,3,False,22,0,2
20,dedicated,Z,3,True,22,0,2
20,coloration,X,1,False,36,7,1
20,coloration,X,1,True,36,7,1
20,coloration,X,2,False,36,7,1
20,coloration,X,2,True,36,7,1
20,coloration,X,3,False,36,7,1
20,coloration,X,3,True,36,7,1
20,coloration,Z,1,False,36,7,1
20,coloration,Z,1,True,36,7,1
20,coloration,Z,2,False,36,7,1
20,coloration,Z,2,True,36,7,1
20,coloration,Z,3,False,36,7,1
20,coloration,Z,3,True,36,7,1
22,dedicated,X,1,False,24,0,2
