timestamp,pqrm,d_surf,rounds,state,p_1q,p_2q,p_meas,p_reset,decoder,backend,workers,n_det,n_ps,max_shots,max_errors,shots,kept,ps_rate,errors,ler,total_seconds
2026-03-23T05:28:53,1-2-4,3,3,Z,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,88,12,5000000,200,740000,602633,0.8144,202,3.35e-04,96.0
2026-03-23T05:29:37,1-2-4,3,3,X,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,88,13,5000000,200,390000,317921,0.8152,201,6.32e-04,44.3
2026-03-23T05:30:13,1-2-4,3,3,Y,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,88,13,5000000,200,330000,260063,0.7881,201,7.73e-04,36.0
2026-03-23T05:35:51,1-2-4,4,4,Z,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,176,16,5000000,200,1580000,1214799,0.7689,200,1.65e-04,337.9
2026-03-23T05:37:21,1-2-4,4,4,X,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,176,18,5000000,200,430000,329672,0.7667,204,6.19e-04,89.2
2026-03-23T05:38:41,1-2-4,4,4,Y,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,176,18,5000000,200,360000,262082,0.7280,201,7.67e-04,79.3
2026-03-23T06:02:55,1-2-4,5,5,Z,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,314,20,5000000,200,5000000,3638585,0.7277,168,4.62e-05,1434.7
2026-03-23T06:05:01,1-2-4,5,5,X,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,314,23,5000000,200,450000,326112,0.7247,200,6.13e-04,126.6
2026-03-23T06:07:11,1-2-4,5,5,Y,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,314,23,5000000,200,480000,322683,0.6723,201,6.23e-04,129.4
2026-03-23T06:49:08,1-2-4,6,6,Z,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,514,24,5000000,200,5000000,3557663,0.7115,118,3.32e-05,2516.8
2026-03-23T06:51:44,1-2-4,6,6,X,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,514,28,5000000,200,340000,240210,0.7065,202,8.41e-04,156.4
2026-03-23T06:54:07,1-2-4,6,6,Y,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,514,28,5000000,200,350000,224825,0.6424,202,8.98e-04,142.9
2026-03-23T08:05:11,1-2-4,7,7,Z,1e-06,1e-03,1e-03,1e-03,bposd,gpu,1,788,28,5000000,200,5000000,3421090,0.6842,102,2.98e-05,4264.2
