d,state,rounds_pre,rounds_mid,rounds_post,p,decoder,num_qubits,num_detectors,num_observables,shots,errors,logical_error_rate,build_time_sec,decoding_time_sec
3,X,3,1,1,0.0005,bposd,75,180,1,200000,171,0.000855,0.04,39.06
3,X,3,1,1,0.001,bposd,75,180,1,110000,320,0.002909090909090909,0.04,61.1
3,X,3,1,1,0.002,bposd,75,180,1,80000,862,0.010775,0.03,86.62
3,X,3,1,1,0.005,bposd,75,180,1,80000,4830,0.060375,0.03,253.83
3,X,3,1,1,0.01,bposd,75,180,1,80000,17554,0.219425,0.03,518.15
3,Z,3,1,1,0.0005,bposd,75,180,1,220000,155,0.0007045454545454546,0.07,45.57
3,Z,3,1,1,0.001,bposd,75,180,1,120000,277,0.0023083333333333332,0.07,63.1
3,Z,3,1,1,0.002,bposd,75,180,1,90000,918,0.0102,0.07,137.69
3,Z,3,1,1,0.005,bposd,75,180,1,80000,4917,0.0614625,0.07,253.33
3,Z,3,1,1,0.01,bposd,75,180,1,80000,17135,0.2141875,0.07,523.15
5,X,5,1,1,0.0005,bposd,243,840,1,3040000,102,3.355263157894737e-05,0.28,13541.03
5,X,5,1,1,0.001,bposd,243,840,1,540000,115,0.00021296296296296298,0.28,6381.07
5,X,5,1,1,0.002,bposd,243,840,1,140000,260,0.0018571428571428571,0.28,5706.22
5,X,5,1,1,0.005,bposd,243,840,1,80000,3823,0.0477875,0.28,7129.46
5,Z,5,1,1,0.0005,mwpf,243,840,1,7530000,101,1.3413014608233731e-05,0.25,4044.12
5,Z,5,1,1,0.001,mwpf,243,840,1,640000,113,0.0001765625,0.25,1275.09
5,Z,5,1,1,0.002,mwpf,243,840,1,120000,288,0.0024,0.25,1286.62
5,Z,5,1,1,0.005,mwpf,243,840,1,80000,5979,0.0747375,0.25,10927.67
7,X,7,1,1,0.0005,mwpf,507,2268,1,15550000,5,3.215434083601286e-07,1.5,23522.5
7,X,7,1,1,0.001,mwpf,507,2268,1,3850000,46,1.1948051948051948e-05,1.5,21970.8
7,Z,7,1,1,0.0005,mwpf,507,2268,1,15580000,7,4.493965340180744e-07,1.5,23516.0
7,Z,7,1,1,0.001,mwpf,507,2268,1,3860000,61,1.5803108808290155e-05,1.5,22002.6
7,X,7,1,1,0.002,mwpf,507,2268,1,210000,168,0.0008,1.5,6137.6
7,Z,7,1,1,0.002,mwpf,507,2268,1,240000,149,0.0006208333333333334,1.52,6229.44
7,X,7,1,1,0.005,nv-qldpc-decoder,507,2268,1,10000,539,0.0539,1.5,136.55
7,Z,7,1,1,0.005,nv-qldpc-decoder,507,2268,1,10000,517,0.0517,1.5,136.83
5,Z,5,1,1,0.01,pymatching,243,840,1,10000,3752,0.3752,0.25,49.07
5,X,5,1,1,0.01,pymatching,243,840,1,10000,3952,0.3952,0.26,53.07
7,Z,7,1,1,0.01,pymatching,507,2268,1,10000,4428,0.4428,1.66,76.61
7,X,7,1,1,0.01,pymatching,507,2268,1,10000,4672,0.4672,1.57,73.6
