d,rounds,p,p_injected,p_in,ler_ps,post_selection_rate,shots,errors
3,1,0.0,0.001,2.5839793281653746e-05,0.0,0.99982612,100000000,0
3,1,0.0,0.0056,0.0007407407407407407,1.0053874895090329e-08,0.99464138,100000000,1
3,1,0.0,0.032,0.0222,9.35044945093082e-05,0.8555738461538461,1300000,104
3,1,0.0,0.178,0.3252,0.34,0.14,5000,238
5,1,0.0,0.001,2.5e-07,0.0,0.9999982,100000000,0
5,1,0.0,0.0056,4.0160642570281125e-05,0.0,0.99970667,100000000,0
5,1,0.0,0.032,0.007666666666666666,2.934230026204728e-06,0.9498464604236343,35880000,100
5,1,0.0,0.178,0.3702,0.40062597809076683,0.1278,5000,256
7,1,0.0,0.001,0.0,0.0,0.99999999,100000000,0
7,1,0.0,0.0056,2.2163120567375886e-06,0.0,0.99998686,100000000,0
7,1,0.0,0.032,0.0023777777777777777,9.151949357586541e-08,0.98339705,100000000,9
7,1,0.0,0.178,0.4103333333333333,0.46887470071827614,0.1253,20000,1175
