d,state,rounds_pre,rounds_ls,routing_mult,p,decoder,num_qubits,num_detectors,num_observables,shots,errors,logical_error_rate,build_time_sec,decoding_time_sec
3,X,3,3,2,0.0005,pymatching,115,378,1,50000,137,0.00274,0.04,15.03
3,X,3,3,2,0.001,pymatching,115,378,1,10000,100,0.01,0.04,13.03
3,X,3,3,2,0.002,pymatching,115,378,1,20000,677,0.03385,0.04,13.53
3,X,3,3,2,0.005,pymatching,115,378,1,10000,1788,0.1788,0.04,13.03
3,X,3,3,4,0.0005,pymatching,175,462,1,30000,133,0.004433333333333333,0.06,14.53
3,X,3,3,4,0.001,pymatching,175,462,1,10000,173,0.0173,0.06,13.53
3,X,3,3,4,0.002,pymatching,175,462,1,10000,583,0.0583,0.06,13.03
3,X,3,3,4,0.005,pymatching,175,462,1,20000,4965,0.24825,0.06,13.03
3,X,3,3,8,0.0005,pymatching,295,630,1,20000,159,0.00795,0.16,14.53
3,X,3,3,8,0.001,pymatching,295,630,1,30000,811,0.027033333333333333,0.16,14.53
3,X,3,3,8,0.002,pymatching,295,630,1,20000,1833,0.09165,0.16,14.53
3,X,3,3,8,0.005,pymatching,295,630,1,40000,13848,0.3462,0.16,14.53
3,Z,3,3,2,0.0005,pymatching,115,378,1,40000,105,0.002625,0.07,15.03
3,Z,3,3,2,0.001,pymatching,115,378,1,30000,297,0.0099,0.07,13.53
3,Z,3,3,2,0.002,pymatching,115,378,1,30000,1053,0.0351,0.07,13.03
3,Z,3,3,2,0.005,pymatching,115,378,1,10000,1836,0.1836,0.07,14.03
3,Z,3,3,4,0.0005,pymatching,175,462,1,50000,161,0.00322,0.07,12.53
3,Z,3,3,4,0.001,pymatching,175,462,1,10000,149,0.0149,0.07,13.03
3,Z,3,3,4,0.002,pymatching,175,462,1,10000,455,0.0455,0.07,13.53
3,Z,3,3,4,0.005,pymatching,175,462,1,10000,2139,0.2139,0.07,13.53
3,Z,3,3,8,0.0005,pymatching,295,630,1,30000,136,0.004533333333333334,0.14,13.53
3,Z,3,3,8,0.001,pymatching,295,630,1,20000,307,0.01535,0.14,13.53
3,Z,3,3,8,0.002,pymatching,295,630,1,10000,612,0.0612,0.14,13.03
3,Z,3,3,8,0.005,pymatching,295,630,1,10000,2671,0.2671,0.14,13.53
5,X,5,5,2,0.0005,pymatching,351,2060,1,760000,108,0.00014210526315789474,0.24,14.03
5,X,5,5,2,0.001,pymatching,351,2060,1,180000,197,0.0010944444444444445,0.24,13.53
5,X,5,5,2,0.002,pymatching,351,2060,1,90000,819,0.0091,0.24,13.53
5,X,5,5,2,0.005,pymatching,351,2060,1,80000,11074,0.138425,0.24,14.53
5,X,5,5,4,0.0005,pymatching,531,2500,1,450000,125,0.0002777777777777778,0.51,14.53
5,X,5,5,4,0.001,pymatching,531,2500,1,130000,270,0.002076923076923077,0.51,14.03
5,X,5,5,4,0.002,pymatching,531,2500,1,30000,513,0.0171,0.51,13.53
5,X,5,5,4,0.005,pymatching,531,2500,1,80000,17001,0.2125125,0.51,14.53
5,X,5,5,8,0.0005,pymatching,891,3380,1,270000,153,0.0005666666666666667,1.64,14.03
5,X,5,5,8,0.001,pymatching,891,3380,1,100000,461,0.00461,1.64,14.03
5,X,5,5,8,0.002,pymatching,891,3380,1,80000,2628,0.03285,1.64,13.53
5,X,5,5,8,0.005,pymatching,891,3380,1,80000,25333,0.3166625,1.64,15.03
5,Z,5,5,2,0.0005,pymatching,351,2060,1,960000,108,0.0001125,0.26,15.03
5,Z,5,5,2,0.001,pymatching,351,2060,1,200000,179,0.000895,0.26,13.53
5,Z,5,5,2,0.002,pymatching,351,2060,1,90000,692,0.007688888888888889,0.26,13.03
5,Z,5,5,2,0.005,pymatching,351,2060,1,80000,10269,0.1283625,0.26,14.03
5,Z,5,5,4,0.0005,pymatching,531,2500,1,850000,108,0.00012705882352941175,0.51,14.53
5,Z,5,5,4,0.001,pymatching,531,2500,1,160000,173,0.00108125,0.51,14.03
5,Z,5,5,4,0.002,pymatching,531,2500,1,80000,786,0.009825,0.51,13.53
5,Z,5,5,4,0.005,pymatching,531,2500,1,80000,12328,0.1541,0.51,15.03
5,Z,5,5,8,0.0005,pymatching,891,3380,1,650000,119,0.00018307692307692307,1.68,16.03
5,Z,5,5,8,0.001,pymatching,891,3380,1,140000,215,0.0015357142857142857,1.68,14.53
5,Z,5,5,8,0.002,pymatching,891,3380,1,80000,1009,0.0126125,1.68,13.53
5,Z,5,5,8,0.005,pymatching,891,3380,1,80000,15692,0.19615,1.68,14.53
3,X,3,3,16,0.0005,pymatching,535,966,1,10000,114,0.0114,0.49,23.04
3,X,3,3,16,0.001,pymatching,535,966,1,10000,510,0.051,0.49,22.04
3,X,3,3,16,0.002,pymatching,535,966,1,10000,1579,0.1579,0.49,23.04
3,X,3,3,16,0.005,pymatching,535,966,1,20000,8890,0.4445,0.49,21.54
7,X,7,7,2,0.0005,pymatching,715,6006,1,15130000,101,6.67547918043622e-06,1.18,110.15
3,Z,3,3,16,0.0005,pymatching,535,966,1,20000,134,0.0067,0.56,33.55
7,X,7,7,2,0.001,pymatching,715,6006,1,960000,110,0.00011458333333333333,1.18,31.05
3,Z,3,3,16,0.001,pymatching,535,966,1,10000,262,0.0262,0.56,32.05
7,X,7,7,2,0.002,pymatching,715,6006,1,120000,271,0.0022583333333333335,1.18,26.04
3,Z,3,3,16,0.002,pymatching,535,966,1,10000,923,0.0923,0.56,31.57
7,X,7,7,2,0.005,pymatching,715,6006,1,80000,8266,0.103325,1.18,31.55
3,Z,3,3,16,0.005,pymatching,535,966,1,10000,3575,0.3575,0.56,32.55
5,X,5,5,16,0.0005,pymatching,1611,5140,1,150000,184,0.0012266666666666667,11.17,23.04
7,X,7,7,4,0.0005,pymatching,1079,7266,1,5720000,100,1.7482517482517483e-05,2.81,66.1
5,X,5,5,16,0.001,pymatching,1611,5140,1,20000,184,0.0092,11.17,28.05
7,X,7,7,4,0.001,pymatching,1079,7266,1,450000,131,0.00029111111111111113,2.81,33.05
5,X,5,5,16,0.002,pymatching,1611,5140,1,10000,609,0.0609,11.17,23.04
7,X,7,7,4,0.002,pymatching,1079,7266,1,80000,333,0.0041625,2.81,34.55
5,X,5,5,16,0.005,pymatching,1611,5140,1,80000,33902,0.423775,11.17,27.05
7,X,7,7,4,0.005,pymatching,1079,7266,1,80000,13630,0.170375,2.81,35.06
5,Z,5,5,16,0.0005,pymatching,1611,5140,1,450000,122,0.00027111111111111113,9.33,23.04
5,Z,5,5,16,0.001,pymatching,1611,5140,1,120000,277,0.0023083333333333332,9.33,31.55
5,Z,5,5,16,0.002,pymatching,1611,5140,1,80000,1557,0.0194625,9.33,22.54
7,X,7,7,8,0.0005,pymatching,1807,9786,1,3260000,104,3.1901840490797544e-05,12.86,57.09
5,Z,5,5,16,0.005,pymatching,1611,5140,1,80000,21486,0.268575,9.33,16.53
7,X,7,7,8,0.001,pymatching,1807,9786,1,280000,128,0.00045714285714285713,12.86,27.55
7,X,7,7,8,0.002,pymatching,1807,9786,1,90000,804,0.008933333333333333,12.86,23.04
7,X,7,7,8,0.005,pymatching,1807,9786,1,80000,21901,0.2737625,12.86,24.04
7,X,7,7,16,0.0005,pymatching,3263,14826,1,1400000,111,7.928571428571429e-05,117.25,36.56
7,X,7,7,16,0.001,pymatching,3263,14826,1,170000,193,0.0011352941176470588,117.25,19.04
7,X,7,7,16,0.002,pymatching,3263,14826,1,80000,1443,0.0180375,117.25,17.53
7,X,7,7,16,0.005,pymatching,3263,14826,1,80000,31317,0.3914625,117.25,23.04
7,Z,7,7,2,0.0005,pymatching,715,6006,1,29600000,100,3.3783783783783783e-06,1.13,181.75
7,Z,7,7,2,0.001,pymatching,715,6006,1,1810000,104,5.7458563535911604e-05,1.13,27.55
