d,state,rounds_pre,rounds_ls,routing_mult,p,decoder,num_qubits,num_detectors,num_observables,shots,errors,logical_error_rate,build_time_sec,decoding_time_sec
3,X,3,3,2,0.0005,pymatching,115,378,1,40000,148,0.0037,0.04,33.57
3,X,3,3,2,0.001,pymatching,115,378,1,10000,120,0.012,0.04,18.56
3,X,3,3,2,0.002,pymatching,115,378,1,10000,402,0.0402,0.04,20.06
3,X,3,3,2,0.005,pymatching,115,378,1,10000,1861,0.1861,0.04,19.05
3,X,3,3,2,0.01,pymatching,115,378,1,30000,12600,0.42,0.04,19.56
7,X,7,7,2,0.0005,pymatching,715,6006,1,28600000,102,3.5664335664335664e-06,1.35,117.2
3,X,3,3,4,0.0005,pymatching,175,462,1,40000,165,0.004125,0.07,34.1
7,X,7,7,2,0.001,pymatching,715,6006,1,1710000,112,6.549707602339182e-05,1.35,46.13
3,X,3,3,4,0.001,pymatching,175,462,1,10000,135,0.0135,0.07,36.67
7,X,7,7,2,0.002,pymatching,715,6006,1,210000,311,0.001480952380952381,1.35,34.07
3,X,3,3,4,0.002,pymatching,175,462,1,20000,969,0.04845,0.07,19.06
3,X,3,3,4,0.005,pymatching,175,462,1,20000,4512,0.2256,0.07,34.07
7,X,7,7,2,0.005,pymatching,715,6006,1,160000,16545,0.10340625,1.35,39.08
3,X,3,3,4,0.01,pymatching,175,462,1,10000,4460,0.446,0.07,54.11
7,X,7,7,2,0.01,pymatching,715,6006,1,160000,79301,0.49563125,1.35,67.62
3,X,3,3,8,0.0005,pymatching,295,630,1,20000,107,0.00535,0.15,52.14
3,X,3,3,8,0.001,pymatching,295,630,1,20000,345,0.01725,0.15,43.12
3,X,3,3,8,0.002,pymatching,295,630,1,10000,649,0.0649,0.15,45.6
7,X,7,7,4,0.0005,pymatching,1079,7266,1,24150000,100,4.140786749482402e-06,2.91,160.81
3,X,3,3,8,0.005,pymatching,295,630,1,10000,2823,0.2823,0.15,60.61
7,X,7,7,4,0.001,pymatching,1079,7266,1,1710000,115,6.72514619883041e-05,2.91,31.58
3,X,3,3,8,0.01,pymatching,295,630,1,20000,9616,0.4808,0.15,70.14
7,X,7,7,4,0.002,pymatching,1079,7266,1,200000,356,0.00178,2.91,62.14
3,Z,3,3,2,0.0005,pymatching,115,378,1,60000,122,0.002033333333333333,0.08,60.12
7,X,7,7,4,0.005,pymatching,1079,7266,1,160000,19487,0.12179375,2.91,61.62
3,Z,3,3,2,0.001,pymatching,115,378,1,20000,147,0.00735,0.08,65.12
7,X,7,7,4,0.01,pymatching,1079,7266,1,160000,79649,0.49780625,2.91,71.63
3,Z,3,3,2,0.002,pymatching,115,378,1,10000,268,0.0268,0.08,69.22
3,Z,3,3,2,0.005,pymatching,115,378,1,20000,2934,0.1467,0.08,31.57
3,Z,3,3,2,0.01,pymatching,115,378,1,10000,3638,0.3638,0.08,35.58
7,X,7,7,8,0.0005,pymatching,1807,9786,1,19090000,101,5.290728129910948e-06,11.86,143.79
3,Z,3,3,4,0.0005,pymatching,175,462,1,40000,134,0.00335,0.08,37.6
3,Z,3,3,4,0.001,pymatching,175,462,1,10000,134,0.0134,0.08,41.59
7,X,7,7,8,0.001,pymatching,1807,9786,1,1040000,117,0.0001125,11.86,55.11
3,Z,3,3,4,0.002,pymatching,175,462,1,10000,404,0.0404,0.08,52.63
7,X,7,7,8,0.002,pymatching,1807,9786,1,190000,464,0.0024421052631578948,11.86,50.65
3,Z,3,3,4,0.005,pymatching,175,462,1,10000,2100,0.21,0.08,45.1
7,X,7,7,8,0.005,pymatching,1807,9786,1,160000,25402,0.1587625,11.86,46.59
3,Z,3,3,4,0.01,pymatching,175,462,1,10000,4194,0.4194,0.08,48.59
7,X,7,7,8,0.01,pymatching,1807,9786,1,160000,79975,0.49984375,11.86,58.12
