gate,protocol,sub_experiment,init_basis,measure_basis,d,rounds,p,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder,figure
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,3,3,0.0005,60000,60000,1.0,107,0.0017833333333333,62.09949639206752,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,3,3,0.001,20000,20000,1.0,117,0.00585,37.08756383205764,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,3,3,0.002,10000,10000,1.0,241,0.0241,42.10145623795688,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,7,7,0.0005,52020000,52020000,1.0,101,1.9415609381007306e-06,181.77929189195856,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,3,3,0.005,10000,10000,1.0,1416,0.1416,90.64739459590056,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,7,7,0.001,3450000,3450000,1.0,105,3.0434782608695653e-05,66.1149822329171,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,3,3,0.01,10000,10000,1.0,4010,0.401,79.62782377400436,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,7,7,0.002,290000,290000,1.0,226,0.0007793103448275,53.59865768603049,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,5,5,0.0005,1450000,1450000,1.0,102,7.03448275862069e-05,79.12961528101005,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,7,7,0.005,160000,160000,1.0,8129,0.05080625,78.6352789059747,pymatching,1
CNOT_LS_ZZ_XX,ZZ-XX,ZZ_ZZ,ZZ,ZZ,5,5,0.001,180000,180000,1.0,104,0.0005777777777777,76.12386878416874,pymatching,1
