gate,sub_experiment,init_basis,measure_basis,d,rounds,p,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder,figure
CNOT_trans,ZZ_ZZ,ZZ,ZZ,3,2,0.0001,2180000,2180000,1.0,105,4.81651376146789e-05,76.1135213309899,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,3,2,0.0005,310000,310000,1.0,132,0.0004258064516129,99.15090900287032,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,3,2,0.001,120000,120000,1.0,232,0.0019333333333333,113.16139358398505,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,3,2,0.002,90000,90000,1.0,670,0.0074444444444444,125.18532236898318,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,3,2,0.005,80000,80000,1.0,3534,0.044175,166.72502810880542,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,3,2,0.01,80000,80000,1.0,13451,0.1681375,184.79237162298523,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,5,2,0.0001,167270000,167270000,1.0,30,1.7935075028397205e-07,13597.768723838031,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,5,2,0.002,110000,110000,1.0,99,0.0009,577.2444015608635,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,5,2,0.005,80000,80000,1.0,1563,0.0195375,940.6832476060372,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,5,2,0.01,80000,80000,1.0,14508,0.18135,1597.5214087229688,bposd,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,7,2,0.0005,22410000,22410000,1.0,30,1.3386880856760374e-06,11508.430567091797,nv-qldpc-decoder,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,7,2,0.001,1480000,1480000,1.0,32,2.162162162162162e-05,1312.688151845941,nv-qldpc-decoder,3
CNOT_trans,ZZ_ZZ,ZZ,ZZ,7,2,0.002,270000,270000,1.0,73,0.0002703703703703,435.0776071061846,nv-qldpc-decoder,3
