gate,sub_experiment,init_basis,measure_basis,d,rounds,p,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder,figure
H,H_ZtoX,Z,X,3,2,0.0001,3410000,3410000,1.0,101,2.9618768328445747e-05,81.11885836487636,bposd,4
H,H_ZtoX,Z,X,3,2,0.0005,380000,380000,1.0,132,0.0003473684210526,99.13684741896576,bposd,4
H,H_ZtoX,Z,X,3,2,0.001,150000,150000,1.0,167,0.0011133333333333,112.16009956016204,bposd,4
H,H_ZtoX,Z,X,3,2,0.002,100000,100000,1.0,429,0.00429,112.65400894498453,bposd,4
H,H_ZtoX,Z,X,3,2,0.005,80000,80000,1.0,2081,0.0260125,114.1627178459894,bposd,4
H,H_ZtoX,Z,X,3,2,0.01,80000,80000,1.0,7257,0.0907125,130.1970455260016,bposd,4
H,H_ZtoX,Z,X,5,2,0.0001,706420000,706420000,1.0,100,1.415588460122873e-07,10896.422860897146,bposd,4
H,H_ZtoX,Z,X,5,2,0.0005,12470000,12470000,1.0,100,8.01924619085806e-06,1107.9504009541124,bposd,4
H,H_ZtoX,Z,X,5,2,0.001,1650000,1650000,1.0,107,6.484848484848485e-05,429.06758101913147,bposd,4
H,H_ZtoX,Z,X,5,2,0.002,230000,230000,1.0,150,0.0006521739130434,194.76570303784683,bposd,4
H,H_ZtoX,Z,X,5,2,0.005,90000,90000,1.0,1032,0.0114666666666666,416.5303224141244,bposd,4
H,H_ZtoX,Z,X,5,2,0.01,80000,80000,1.0,7821,0.0977625,397.0172118230257,bposd,4
H,H_ZtoX,Z,X,7,2,0.0005,56340000,56340000,1.0,38,6.745475049344692e-07,16365.5,nv-qldpc-decoder,4
H,H_ZtoX,Z,X,7,2,0.005,80000,80000,1.0,513,0.0064125,909.1821283339524,bposd,4
H,H_ZtoX,Z,X,7,2,0.01,80000,80000,1.0,7994,0.099925,1480.8756402288564,bposd,4
H,H_XtoZ,X,Z,3,2,0.0005,150000,150000,1.0,52,0.0003466666666666,13.04153978289105,bposd,4
H,H_XtoZ,X,Z,3,2,0.001,100000,100000,1.0,105,0.00105,14.543580739060417,bposd,4
H,H_XtoZ,X,Z,3,2,0.002,80000,80000,1.0,357,0.0044625,15.543674847111106,bposd,4
H,H_XtoZ,X,Z,3,2,0.005,80000,80000,1.0,2007,0.0250875,27.55925780790858,bposd,4
H,H_XtoZ,X,Z,3,2,0.01,80000,80000,1.0,7215,0.0901875,50.08498743199743,bposd,4
H,H_XtoZ,X,Z,5,2,0.0005,4860000,4860000,1.0,30,6.172839506172839e-06,725.9624991468154,bposd,4
H,H_XtoZ,X,Z,5,2,0.001,490000,490000,1.0,36,7.346938775510205e-05,209.2804124809336,bposd,4
H,H_XtoZ,X,Z,5,2,0.002,120000,120000,1.0,79,0.0006583333333333,162.73656239686534,bposd,4
H,H_XtoZ,X,Z,5,2,0.005,80000,80000,1.0,958,0.011975,292.3886923978571,bposd,4
H,H_XtoZ,X,Z,5,2,0.01,80000,80000,1.0,7563,0.0945375,579.2164557119831,bposd,4
H,H_XtoZ,X,Z,7,2,0.0005,60290000,60290000,1.0,38,6.302842428252775e-07,21944.1,nv-qldpc-decoder,4
H,H_XtoZ,X,Z,7,2,0.001,13670000,13670000,1.0,100,7.315288953913679e-06,6321.897998876171,nv-qldpc-decoder,4
H,H_XtoZ,X,Z,7,2,0.002,720000,720000,1.0,100,0.0001388888888888,458.1165496360045,nv-qldpc-decoder,4
H,H_XtoZ,X,Z,7,2,0.005,30000,30000,1.0,148,0.0049333333333333,29.95227426011116,nv-qldpc-decoder,4
H,H_XtoZ,X,Z,7,2,0.01,10000,10000,1.0,696,0.0696,11.211272964021193,nv-qldpc-decoder,4
H,H_ZtoX,Z,X,7,2,0.001,10450000,10450000,1.0,100,9.569377990430622e-06,3892.5346161040943,nv-qldpc-decoder,4
H,H_ZtoX,Z,X,7,2,0.002,760000,760000,1.0,101,0.0001328947368421,361.7048248690553,nv-qldpc-decoder,4
