gate,sub_experiment,init_basis,measure_basis,d,rounds,p,figure,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder
memory,Z_memory,Z,Z,3,3,0.0005,6,545000,545000,1.0,100,0.0001834862385321101,8.528618845972233,pymatching
memory,Z_memory,Z,Z,3,3,0.001,6,129000,129000,1.0,100,0.0007751937984496124,8.536292603006586,pymatching
memory,Z_memory,Z,Z,3,3,0.002,6,33000,33000,1.0,102,0.0030909090909090908,8.537837585958187,pymatching
memory,Z_memory,Z,Z,3,3,0.005,6,6000,6000,1.0,106,0.017666666666666667,8.039210049028043,pymatching
memory,Z_memory,Z,Z,3,3,0.01,6,2000,2000,1.0,140,0.07,8.537572789995465,pymatching
memory,Z_memory,Z,Z,5,5,0.0005,6,11724000,11724000,1.0,100,8.5295121119072e-06,9.528373541019391,pymatching
memory,Z_memory,Z,Z,5,5,0.001,6,1317000,1317000,1.0,101,7.668944570994685e-05,8.02342967397999,pymatching
memory,Z_memory,Z,Z,5,5,0.002,6,165000,165000,1.0,102,0.0006181818181818182,8.523449503991287,pymatching
memory,Z_memory,Z,Z,5,5,0.005,6,10000,10000,1.0,114,0.0114,8.022764353954699,pymatching
memory,Z_memory,Z,Z,5,5,0.01,6,2000,2000,1.0,165,0.0825,8.022739429026842,pymatching
memory,Z_memory,Z,Z,7,7,0.0005,6,100000000,100000000,1.0,24,2.4e-07,51.58032360201469,pymatching
memory,Z_memory,Z,Z,7,7,0.001,6,26426000,26426000,1.0,100,3.7841519715431773e-06,23.043682970979717,pymatching
memory,Z_memory,Z,Z,7,7,0.002,6,1128000,1128000,1.0,103,9.131205673758865e-05,9.526273822993971,pymatching
memory,Z_memory,Z,Z,7,7,0.005,6,22000,22000,1.0,111,0.005045454545454546,8.524934246961493,pymatching
memory,Z_memory,Z,Z,7,7,0.01,6,1000,1000,1.0,109,0.109,8.022788159025367,pymatching
memory,X_memory,X,X,3,3,0.0005,6,440000,440000,1.0,100,0.00022727272727272727,19.043300357996486,pymatching
memory,X_memory,X,X,3,3,0.001,6,97000,97000,1.0,101,0.0010412371134020618,14.531917835993227,pymatching
memory,X_memory,X,X,3,3,0.002,6,30000,30000,1.0,100,0.0033333333333333335,13.538864139001817,pymatching
memory,X_memory,X,X,3,3,0.005,6,6000,6000,1.0,117,0.0195,12.038922198000364,pymatching
memory,X_memory,X,X,3,3,0.01,6,2000,2000,1.0,125,0.0625,11.543151763966307,pymatching
memory,X_memory,X,X,5,5,0.0005,6,10195000,10195000,1.0,100,9.80872976949485e-06,15.034962599980645,pymatching
memory,X_memory,X,X,5,5,0.001,6,1328000,1328000,1.0,100,7.530120481927712e-05,12.530144367949106,pymatching
memory,X_memory,X,X,5,5,0.002,6,158000,158000,1.0,100,0.0006329113924050633,6.5230299429968,pymatching
memory,X_memory,X,X,5,5,0.005,6,9000,9000,1.0,103,0.011444444444444445,7.525057389982976,pymatching
memory,X_memory,X,X,5,5,0.01,6,1000,1000,1.0,106,0.106,7.524381869006902,pymatching
memory,X_memory,X,X,7,7,0.0005,6,100000000,100000000,1.0,20,2e-07,51.58050468901638,pymatching
memory,X_memory,X,X,7,7,0.001,6,18966000,18966000,1.0,100,5.272593061267531e-06,19.03877864999231,pymatching
memory,X_memory,X,X,7,7,0.002,6,769000,769000,1.0,103,0.00013394018205461637,8.524550317029934,pymatching
memory,X_memory,X,X,7,7,0.005,6,16000,16000,1.0,125,0.0078125,8.022933720960282,pymatching
memory,X_memory,X,X,7,7,0.01,6,1000,1000,1.0,134,0.134,8.024995616986416,pymatching
