scheduling,basis,distance,p,shots,errors,logical_error_rate,seconds,decoder,code,n_data,n_total,k,figure
perpendicular,Z,3,0.007,10000,345,0.0345,76.6482132950332,pymatching,rotated_sc,9,17,1,4
perpendicular,Z,7,0.007,10000,373,0.0373,76.694048846839,pymatching,rotated_sc,49,97,1,4
perpendicular,Z,3,0.005,10000,168,0.0168,74.1598502388224,pymatching,rotated_sc,9,17,1,4
perpendicular,Z,7,0.005,10000,118,0.0118,74.31062727281824,pymatching,rotated_sc,49,97,1,4
perpendicular,Z,7,0.002,170000,55,0.0003235294117647,70.15998918283731,pymatching,rotated_sc,49,97,1,4
perpendicular,Z,3,0.002,20000,77,0.00385,70.65014126803726,pymatching,rotated_sc,9,17,1,4
perpendicular,Z,3,0.001,60000,58,0.0009666666666666,71.42609264003113,pymatching,rotated_sc,9,17,1,4
perpendicular,Z,7,0.001,2410000,54,2.2406639004149377e-05,71.63860681210645,pymatching,rotated_sc,49,97,1,4
perpendicular,Z,3,0.0007,60000,53,0.0008833333333333,71.14087709994055,pymatching,rotated_sc,9,17,1,4
perpendicular,Z,7,0.0007,10940000,54,4.936014625228519e-06,72.19497785484418,pymatching,rotated_sc,49,97,1,4
perpendicular,Z,3,0.0005,130000,50,0.0003846153846153,74.14466436300427,pymatching,rotated_sc,9,17,1,4
perpendicular,Z,7,0.0005,37280000,50,1.3412017167381975e-06,75.64945235103369,pymatching,rotated_sc,49,97,1,4
perpendicular,Z,5,0.007,10000,369,0.0369,74.16848952905275,pymatching,rotated_sc,25,49,1,4
perpendicular,Z,9,0.007,10000,308,0.0308,71.64492467115633,pymatching,rotated_sc,81,161,1,4
perpendicular,Z,9,0.005,20000,141,0.00705,71.1510679279454,pymatching,rotated_sc,81,161,1,4
perpendicular,Z,5,0.005,10000,143,0.0143,71.64512455207296,pymatching,rotated_sc,25,49,1,4
perpendicular,Z,9,0.002,570000,50,8.771929824561403e-05,72.64927586796694,pymatching,rotated_sc,81,161,1,4
perpendicular,Z,5,0.002,50000,59,0.00118,72.6555983258877,pymatching,rotated_sc,25,49,1,4
perpendicular,Z,5,0.001,290000,50,0.0001724137931034,72.64527329988778,pymatching,rotated_sc,25,49,1,4
perpendicular,Z,9,0.001,18780000,51,2.7156549520766774e-06,76.2037230390124,pymatching,rotated_sc,81,161,1,4
perpendicular,Z,5,0.0007,730000,50,6.84931506849315e-05,73.67057703784667,pymatching,rotated_sc,25,49,1,4
perpendicular,Z,9,0.0007,95480000,51,5.341432760787599e-07,83.65596746909432,pymatching,rotated_sc,81,161,1,4
perpendicular,Z,5,0.0005,1910000,50,2.6178010471204188e-05,70.15135496808216,pymatching,rotated_sc,25,49,1,4
perpendicular,X,3,0.007,10000,350,0.035,38.62894736905582,pymatching,rotated_sc,9,17,1,4
perpendicular,X,3,0.005,10000,208,0.0208,40.126318626105785,pymatching,rotated_sc,9,17,1,4
perpendicular,Z,9,0.0005,787540000,51,6.475861543540647e-08,147.74364659911953,pymatching,rotated_sc,81,161,1,4
perpendicular,X,3,0.002,20000,63,0.00315,69.15423760702834,pymatching,rotated_sc,9,17,1,4
perpendicular,X,7,0.007,20000,875,0.04375,57.62645477405749,pymatching,rotated_sc,49,97,1,4
perpendicular,X,3,0.001,50000,56,0.00112,71.14954986795783,pymatching,rotated_sc,9,17,1,4
perpendicular,X,7,0.005,10000,105,0.0105,70.64251548121683,pymatching,rotated_sc,49,97,1,4
perpendicular,X,3,0.0007,80000,53,0.0006625,66.130937990034,pymatching,rotated_sc,9,17,1,4
perpendicular,X,7,0.002,160000,68,0.000425,65.64111181604676,pymatching,rotated_sc,49,97,1,4
perpendicular,X,3,0.0005,120000,53,0.0004416666666666,64.63053948199376,pymatching,rotated_sc,9,17,1,4
perpendicular,X,7,0.001,2450000,52,2.1224489795918368e-05,64.67688977299258,pymatching,rotated_sc,49,97,1,4
perpendicular,X,5,0.007,10000,434,0.0434,63.63288359902799,pymatching,rotated_sc,25,49,1,4
perpendicular,X,7,0.0007,7780000,52,6.683804627249357e-06,63.65622415905818,pymatching,rotated_sc,49,97,1,4
perpendicular,X,5,0.005,10000,159,0.0159,64.1373181680683,pymatching,rotated_sc,25,49,1,4
