injection_protocol,inject_state,post_select_mode,d,rounds,p,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder
corner,Z,full_postselection,3,2,0.0001,570000,564270,0.9899473684210528,207,0.000366845658993,68.92443895712495,pymatching
corner,Z,full_postselection,3,2,0.0002,250000,244933,0.979732,201,0.0008206325811548,65.67467158590443,pymatching
corner,Z,full_postselection,3,2,0.0005,110000,104464,0.9496727272727272,212,0.0020294072599172,66.17519398103468,pymatching
corner,Z,full_postselection,3,2,0.001,60000,54180,0.903,211,0.0038944259874492,66.6557943529915,pymatching
corner,Z,full_postselection,3,2,0.002,40000,32624,0.8156,239,0.0073258950465914,68.1612579531502,pymatching
corner,Z,full_postselection,3,2,0.005,20000,12135,0.60675,268,0.0220848784507622,70.1768686498981,pymatching
corner,Z,full_postselection,3,2,0.01,20000,7325,0.36625,325,0.0443686006825938,63.65407794015482,pymatching
corner,Z,full_postselection,5,2,0.0001,530000,513016,0.967954716981132,200,0.0003898513886506,70.01689994498156,pymatching
corner,Z,full_postselection,5,2,0.0002,280000,262454,0.9373357142857144,202,0.0007696586830454,64.65569118782878,pymatching
corner,Z,full_postselection,5,2,0.0005,120000,101907,0.849225,206,0.0020214509307505,63.190512880915776,pymatching
corner,Z,full_postselection,5,2,0.001,70000,50500,0.7214285714285714,205,0.004059405940594,67.24978149612434,pymatching
corner,Z,full_postselection,5,2,0.002,50000,26101,0.52202,217,0.0083138577066012,67.44502639188431,pymatching
corner,Z,full_postselection,5,2,0.005,60000,11792,0.1965333333333333,240,0.0203527815468114,68.71300872694701,pymatching
corner,Z,full_postselection,5,2,0.01,120000,4862,0.0405166666666666,203,0.041752365281777,70.2043413571082,pymatching
corner,Z,full_postselection,7,2,0.0001,490000,458588,0.9358938775510204,202,0.000440482524619,64.7816015149001,pymatching
corner,Z,full_postselection,7,2,0.0002,300000,262280,0.8742666666666666,212,0.0008082964770474,66.17605980997905,pymatching
corner,Z,full_postselection,7,2,0.0005,140000,99937,0.7138357142857142,214,0.0021413490499014,65.89756922214292,pymatching
corner,Z,full_postselection,7,2,0.001,110000,56331,0.5121,212,0.0037634694928192,69.65021019103006,pymatching
corner,Z,full_postselection,7,2,0.002,110000,29047,0.2640636363636364,204,0.0070231004923055,69.67895511700772,pymatching
corner,Z,full_postselection,7,2,0.005,300000,10604,0.0353466666666666,204,0.0192380233874009,65.69714200403541,pymatching
corner,Z,full_postselection,7,2,0.01,3300000,4474,0.0013557575757575,200,0.0447027268663388,70.20627246284857,pymatching
corner,Z,full_qec,3,2,0.0001,170000,170000,1.0,200,0.0011764705882352,69.73403105302714,pymatching
corner,Z,full_qec,3,2,0.0002,90000,90000,1.0,206,0.0022888888888888,68.67519527603872,pymatching
corner,Z,full_qec,3,2,0.0005,40000,40000,1.0,230,0.00575,67.17370698717423,pymatching
corner,Z,full_qec,3,2,0.001,20000,20000,1.0,216,0.0108,67.14965167222545,pymatching
corner,Z,full_qec,3,2,0.002,10000,10000,1.0,245,0.0245,103.86382594890893,pymatching
corner,Z,full_qec,3,2,0.005,10000,10000,1.0,601,0.0601,103.72304867510684,pymatching
corner,Z,full_qec,3,2,0.01,10000,10000,1.0,1157,0.1157,112.30979999504052,pymatching
corner,Z,full_qec,5,2,0.0001,150000,150000,1.0,204,0.00136,76.18669677805156,pymatching
corner,Z,full_qec,5,2,0.0002,80000,80000,1.0,237,0.0029625,77.21547888196073,pymatching
corner,Z,full_qec,5,2,0.0005,50000,50000,1.0,333,0.00666,83.35826915712096,pymatching
corner,Z,full_qec,5,2,0.001,20000,20000,1.0,256,0.0128,81.36097995610908,pymatching
corner,Z,full_qec,5,2,0.002,10000,10000,1.0,262,0.0262,89.25540200201795,pymatching
corner,Z,full_qec,5,2,0.005,10000,10000,1.0,723,0.0723,83.24656752403826,pymatching
corner,Z,full_qec,5,2,0.01,10000,10000,1.0,1601,0.1601,81.77745004207827,pymatching
corner,Z,full_qec,7,2,0.0001,150000,150000,1.0,204,0.00136,76.76112253894098,pymatching
corner,Z,full_qec,7,2,0.0002,80000,80000,1.0,225,0.0028125,83.19396703108214,pymatching
corner,Z,full_qec,7,2,0.0005,30000,30000,1.0,222,0.0074,77.68798782606609,pymatching
corner,Z,full_qec,7,2,0.001,20000,20000,1.0,276,0.0138,71.16090924898162,pymatching
corner,Z,full_qec,7,2,0.002,10000,10000,1.0,294,0.0294,69.19305099919438,pymatching
corner,Z,full_qec,7,2,0.005,10000,10000,1.0,803,0.0803,68.15778343309648,pymatching
corner,Z,full_qec,7,2,0.01,10000,10000,1.0,1762,0.1762,67.6843065561261,pymatching
corner,Z,hybrid,3,2,0.0001,500000,497289,0.994578,200,0.0004021806233397,70.70983004313894,pymatching
corner,Z,hybrid,3,2,0.0002,260000,257339,0.9897653846153848,205,0.0007966145823213,66.75299004116096,pymatching
corner,Z,hybrid,3,2,0.0005,110000,107179,0.9743545454545456,210,0.0019593390496272,73.68059933301993,pymatching
corner,Z,hybrid,3,2,0.001,60000,56929,0.9488166666666666,232,0.0040752516292223,75.18438978097402,pymatching
corner,Z,hybrid,3,2,0.002,30000,26918,0.8972666666666667,240,0.008915967010922,76.16859300201759,pymatching
corner,Z,hybrid,3,2,0.005,10000,7710,0.771,201,0.0260700389105058,75.18918581213802,pymatching
corner,Z,hybrid,3,2,0.01,10000,6006,0.6006,299,0.0497835497835497,78.19594621402211,pymatching
corner,Z,hybrid,5,2,0.0001,520000,514650,0.9897115384615384,210,0.0004080443019527,78.34064925299026,pymatching
corner,Z,hybrid,5,2,0.0002,240000,235275,0.9803125,206,0.0008755711401551,74.72444982710294,pymatching
corner,Z,hybrid,5,2,0.0005,110000,104556,0.9505090909090907,208,0.0019893645510539,75.16552468785085,pymatching
corner,Z,hybrid,5,2,0.001,60000,54227,0.9037833333333334,222,0.0040939015619525,75.18976035085507,pymatching
corner,Z,hybrid,5,2,0.002,30000,24615,0.8205,217,0.0088157627462929,80.68299969402142,pymatching
corner,Z,hybrid,5,2,0.005,20000,12185,0.60925,287,0.0235535494460402,75.67416804586537,pymatching
corner,Z,hybrid,5,2,0.01,10000,3777,0.3777,225,0.0595710881652104,73.20785542111844,pymatching
corner,Z,hybrid,7,2,0.0001,440000,433375,0.984943181818182,201,0.0004638015575425,74.7086739751976,pymatching
corner,Z,hybrid,7,2,0.0002,230000,223235,0.9705869565217392,203,0.0009093556117992,70.75294095603749,pymatching
corner,Z,hybrid,7,2,0.0005,120000,111484,0.9290333333333334,212,0.0019016181694234,76.72205811203457,pymatching
corner,Z,hybrid,7,2,0.001,60000,51619,0.8603166666666666,239,0.0046300780720277,81.69643111806363,pymatching
corner,Z,hybrid,7,2,0.002,30000,22333,0.7444333333333333,200,0.0089553575426498,77.84859521593899,pymatching
corner,Z,hybrid,7,2,0.005,20000,9596,0.4798,255,0.0265735723218007,75.21670648804866,pymatching
corner,Z,hybrid,7,2,0.01,20000,4634,0.2317,290,0.0625809236081139,75.71515230601653,pymatching
corner,X,full_postselection,3,2,0.0001,890000,880947,0.9898280898876404,203,0.0002304338399472,76.76299980282784,pymatching
corner,X,full_postselection,3,2,0.0002,500000,489895,0.97979,200,0.0004082507476091,75.17951843095943,pymatching
corner,X,full_postselection,3,2,0.0005,210000,199443,0.9497285714285716,210,0.0010529324167807,80.7029479900375,pymatching
corner,X,full_postselection,3,2,0.001,110000,99111,0.9010090909090908,217,0.0021894643379645,72.83782832697034,pymatching
corner,X,full_postselection,3,2,0.002,70000,57221,0.8174428571428571,226,0.0039495989234721,79.27007410908118,pymatching
corner,X,full_postselection,3,2,0.005,40000,23989,0.599725,272,0.0113385301596565,76.72342260600999,pymatching
corner,X,full_postselection,3,2,0.01,30000,10912,0.3637333333333333,274,0.0251099706744868,84.32840682100505,pymatching
corner,X,full_postselection,5,2,0.0001,1200000,1161499,0.9679158333333332,201,0.0001730522368077,70.28034941712394,pymatching
corner,X,full_postselection,5,2,0.0002,490000,459352,0.9374530612244898,203,0.0004419268883122,64.71785289002582,pymatching
corner,X,full_postselection,5,2,0.0005,240000,203700,0.84875,200,0.0009818360333824,61.21512296004221,pymatching
corner,X,full_postselection,5,2,0.001,160000,115448,0.72155,213,0.0018449864874229,62.18254407006316,pymatching
corner,X,full_postselection,5,2,0.002,100000,51981,0.51981,205,0.0039437486774013,64.37843732489273,pymatching
corner,X,full_postselection,5,2,0.005,110000,21741,0.1976454545454545,216,0.0099351455774803,65.71870645089075,pymatching
corner,X,full_postselection,5,2,0.01,230000,9272,0.0403130434782608,202,0.021786022433132,65.64901187410578,pymatching
corner,X,full_postselection,7,2,0.0001,1080000,1009778,0.9349796296296295,204,0.0002020246034276,65.67022361210547,pymatching
corner,X,full_postselection,7,2,0.0002,650000,568742,0.8749876923076924,202,0.0003551698309602,66.15075523685664,pymatching
corner,X,full_postselection,7,2,0.0005,270000,193050,0.715,206,0.001067081067081,64.18859578180127,pymatching
corner,X,full_postselection,7,2,0.001,210000,107975,0.5141666666666667,208,0.0019263718453345,65.16350476583466,pymatching
corner,X,full_postselection,7,2,0.002,180000,47482,0.2637888888888889,201,0.0042331831009645,65.67465827590786,pymatching
corner,X,full_postselection,7,2,0.005,500000,18145,0.03629,200,0.0110223201984017,65.16973796999082,pymatching
corner,X,full_postselection,7,2,0.01,5990000,8153,0.0013611018363939,201,0.0246535017784864,65.74229612201452,pymatching
corner,X,full_qec,3,2,0.0001,230000,230000,1.0,208,0.0009043478260869,66.67767487419769,pymatching
corner,X,full_qec,3,2,0.0002,130000,130000,1.0,200,0.0015384615384615,66.17214025207795,pymatching
corner,X,full_qec,3,2,0.0005,50000,50000,1.0,217,0.00434,66.68950651399791,pymatching
corner,X,full_qec,3,2,0.001,30000,30000,1.0,265,0.0088333333333333,67.72691932995804,pymatching
corner,X,full_qec,3,2,0.002,20000,20000,1.0,357,0.01785,68.1715559749864,pymatching
corner,X,full_qec,3,2,0.005,10000,10000,1.0,494,0.0494,67.15338245686144,pymatching
corner,X,full_qec,3,2,0.01,10000,10000,1.0,1058,0.1058,66.17438089102507,pymatching
corner,X,full_qec,5,2,0.0001,240000,240000,1.0,203,0.0008458333333333,67.65173770301044,pymatching
corner,X,full_qec,5,2,0.0002,130000,130000,1.0,210,0.0016153846153846,68.19655223889276,pymatching
corner,X,full_qec,5,2,0.0005,50000,50000,1.0,203,0.00406,66.70780840399675,pymatching
corner,X,full_qec,5,2,0.001,20000,20000,1.0,202,0.0101,64.66979050892405,pymatching
corner,X,full_qec,5,2,0.002,20000,20000,1.0,365,0.01825,68.17587450495921,pymatching
corner,X,full_qec,5,2,0.005,10000,10000,1.0,515,0.0515,67.25068153697066,pymatching
corner,X,full_qec,5,2,0.01,10000,10000,1.0,1295,0.1295,65.1924871338997,pymatching
corner,X,full_qec,7,2,0.0001,240000,240000,1.0,208,0.0008666666666666,64.82687461189926,pymatching
corner,X,full_qec,7,2,0.0002,120000,120000,1.0,207,0.001725,67.71830674703233,pymatching
corner,X,full_qec,7,2,0.0005,50000,50000,1.0,227,0.00454,67.17436796892434,pymatching
corner,X,full_qec,7,2,0.001,30000,30000,1.0,284,0.0094666666666666,65.19756329897791,pymatching
corner,X,full_qec,7,2,0.002,20000,20000,1.0,369,0.01845,65.64881779788993,pymatching
corner,X,full_qec,7,2,0.005,10000,10000,1.0,575,0.0575,65.67131186206825,pymatching
corner,X,full_qec,7,2,0.01,10000,10000,1.0,1366,0.1366,88.19039676105604,pymatching
corner,X,hybrid,3,2,0.0001,1190000,1183319,0.9943857142857144,202,0.0001707062930621,66.67499701702036,pymatching
corner,X,hybrid,3,2,0.0002,550000,543711,0.9885654545454544,202,0.0003715208998898,62.92229446186684,pymatching
corner,X,hybrid,3,2,0.0005,200000,194457,0.972285,204,0.0010490751168638,66.15576863894239,pymatching
corner,X,hybrid,3,2,0.001,100000,94531,0.94531,218,0.0023061218013138,68.67474095686339,pymatching
corner,X,hybrid,3,2,0.002,60000,53763,0.89605,220,0.0040920335546751,72.19682214804925,pymatching
corner,X,hybrid,3,2,0.005,20000,15146,0.7573,219,0.0144592631717945,72.7439432227984,pymatching
corner,X,hybrid,3,2,0.01,20000,11504,0.5752,389,0.0338143254520166,64.18579673091881,pymatching
corner,X,hybrid,5,2,0.0001,1130000,1118556,0.9898725663716814,206,0.0001841660140395,80.23241367796436,pymatching
corner,X,hybrid,5,2,0.0002,470000,460470,0.9797234042553192,200,0.0004343388277195,77.76855093985796,pymatching
corner,X,hybrid,5,2,0.0005,210000,199510,0.950047619047619,200,0.0010024560172422,70.68169613997452,pymatching
corner,X,hybrid,5,2,0.001,100000,90304,0.90304,204,0.0022590361445783,68.66247414587997,pymatching
corner,X,hybrid,5,2,0.002,60000,48936,0.8156,236,0.0048226254700016,78.19258144008927,pymatching
corner,X,hybrid,5,2,0.005,20000,12054,0.6027,206,0.017089762734362,69.21546014584601,pymatching
corner,X,hybrid,5,2,0.01,20000,7452,0.3726,313,0.0420021470746108,70.68283245596103,pymatching
corner,X,hybrid,7,2,0.0001,1020000,1004945,0.9852401960784314,202,0.0002010060252053,72.75154970306903,pymatching
corner,X,hybrid,7,2,0.0002,550000,533833,0.9706054545454544,210,0.0003933814507533,77.21883753500879,pymatching
corner,X,hybrid,7,2,0.0005,210000,195148,0.9292761904761904,200,0.0010248631807653,68.21266011102125,pymatching
corner,X,hybrid,7,2,0.001,110000,94696,0.8608727272727272,214,0.0022598631409985,70.68229471379891,pymatching
corner,X,hybrid,7,2,0.002,60000,44612,0.7435333333333334,203,0.0045503451986012,67.67848887690343,pymatching
corner,X,hybrid,7,2,0.005,30000,14430,0.481,237,0.0164241164241164,66.68479180405848,pymatching
corner,X,hybrid,7,2,0.01,20000,4653,0.23265,250,0.0537287771330324,63.69605445303023,pymatching
corner,Y,full_postselection,3,2,0.0001,340000,336624,0.990070588235294,207,0.0006149294167973,67.22573400312103,pymatching
corner,Y,full_postselection,3,2,0.0002,180000,176429,0.9801611111111111,210,0.00119028050944,69.6740073619876,pymatching
corner,Y,full_postselection,3,2,0.0005,80000,75978,0.949725,214,0.0028166048066545,67.7345868749544,pymatching
corner,Y,full_postselection,3,2,0.001,40000,36124,0.9031,200,0.0055364854390432,67.6775857838802,pymatching
corner,Y,full_postselection,3,2,0.002,30000,24452,0.8150666666666667,272,0.0111238344511696,68.22653515613638,pymatching
corner,Y,full_postselection,3,2,0.005,20000,12080,0.604,351,0.0290562913907284,67.18784166988917,pymatching
corner,Y,full_postselection,3,2,0.01,10000,3635,0.3635,213,0.0585969738651994,67.19317299197428,pymatching
corner,Y,full_postselection,5,2,0.0001,290000,280826,0.9683655172413792,204,0.0007264284646008,71.20860441005789,pymatching
corner,Y,full_postselection,5,2,0.0002,140000,131173,0.93695,205,0.0015628216172535,62.64304653508589,pymatching
corner,Y,full_postselection,5,2,0.0005,70000,59467,0.8495285714285714,227,0.003817243176888,64.88905171793886,pymatching
corner,Y,full_postselection,5,2,0.001,50000,36079,0.72158,240,0.0066520690706505,70.21395251806825,pymatching
corner,Y,full_postselection,5,2,0.002,40000,20771,0.519275,250,0.0120360117471474,65.64947949303314,pymatching
corner,Y,full_postselection,5,2,0.005,30000,5985,0.1995,210,0.0350877192982456,66.16472183493897,pymatching
corner,Y,full_postselection,5,2,0.01,90000,3640,0.0404444444444444,221,0.0607142857142857,65.15436183218844,pymatching
corner,Y,full_postselection,7,2,0.0001,300000,280877,0.9362566666666666,213,0.0007583390594459,67.27833636011928,pymatching
corner,Y,full_postselection,7,2,0.0002,200000,174757,0.873785,206,0.0011787796769228,66.67408361192793,pymatching
corner,Y,full_postselection,7,2,0.0005,100000,71559,0.71559,213,0.0029765647926885,66.67598245688714,pymatching
corner,Y,full_postselection,7,2,0.001,70000,35901,0.5128714285714285,203,0.0056544385950252,63.21699233795516,pymatching
corner,Y,full_postselection,7,2,0.002,60000,15721,0.2620166666666667,210,0.0133579288849309,66.27613226603717,pymatching
corner,Y,full_postselection,7,2,0.005,210000,7465,0.035547619047619,206,0.0275954454119223,66.1726936029736,pymatching
corner,Y,full_postselection,7,2,0.01,2290000,3124,0.0013641921397379,202,0.0646606914212548,66.82423447701149,pymatching
corner,Y,full_qec,3,2,0.0001,100000,100000,1.0,202,0.00202,65.17368215695024,pymatching
corner,Y,full_qec,3,2,0.0002,50000,50000,1.0,219,0.00438,63.67390484898351,pymatching
corner,Y,full_qec,3,2,0.0005,20000,20000,1.0,207,0.01035,65.67990965605713,pymatching
corner,Y,full_qec,3,2,0.001,10000,10000,1.0,225,0.0225,67.18946708505973,pymatching
corner,Y,full_qec,3,2,0.002,10000,10000,1.0,458,0.0458,65.1841015489772,pymatching
corner,Y,full_qec,3,2,0.005,10000,10000,1.0,1018,0.1018,66.15125204087235,pymatching
corner,Y,full_qec,3,2,0.01,10000,10000,1.0,1839,0.1839,69.22353527392261,pymatching
corner,Y,full_qec,5,2,0.0001,80000,80000,1.0,212,0.00265,64.66519751981832,pymatching
corner,Y,full_qec,5,2,0.0002,50000,50000,1.0,250,0.005,66.71077924687415,pymatching
corner,Y,full_qec,5,2,0.0005,20000,20000,1.0,250,0.0125,69.2356555450242,pymatching
corner,Y,full_qec,5,2,0.001,10000,10000,1.0,244,0.0244,70.29720865585841,pymatching
corner,Y,full_qec,5,2,0.002,10000,10000,1.0,532,0.0532,62.66600199392997,pymatching
corner,Y,full_qec,5,2,0.005,10000,10000,1.0,1345,0.1345,64.1762500219047,pymatching
corner,Y,full_qec,5,2,0.01,10000,10000,1.0,2388,0.2388,70.17208940209821,pymatching
corner,Y,full_qec,7,2,0.0001,70000,70000,1.0,203,0.0029,65.20518287201412,pymatching
corner,Y,full_qec,7,2,0.0002,40000,40000,1.0,207,0.005175,67.59886581194587,pymatching
corner,Y,full_qec,7,2,0.0005,20000,20000,1.0,289,0.01445,63.26201955997385,pymatching
corner,Y,full_qec,7,2,0.001,10000,10000,1.0,241,0.0241,68.26650244090706,pymatching
corner,Y,full_qec,7,2,0.002,10000,10000,1.0,496,0.0496,67.23496910487302,pymatching
corner,Y,full_qec,7,2,0.005,10000,10000,1.0,1305,0.1305,67.7043045910541,pymatching
corner,Y,full_qec,7,2,0.01,10000,10000,1.0,2623,0.2623,64.16707544005476,pymatching
corner,Y,hybrid,3,2,0.0001,370000,367031,0.9919756756756756,202,0.0005503622309832,64.69123745406978,pymatching
corner,Y,hybrid,3,2,0.0002,180000,177148,0.9841555555555556,215,0.0012136744417097,68.17385658598505,pymatching
corner,Y,hybrid,3,2,0.0005,70000,67233,0.9604714285714284,211,0.0031383398033703,67.68422232195735,pymatching
corner,Y,hybrid,3,2,0.001,40000,36934,0.92335,229,0.0062002490929766,60.718619412975386,pymatching
corner,Y,hybrid,3,2,0.002,20000,17000,0.85,202,0.0118823529411764,62.1464780960232,pymatching
corner,Y,hybrid,3,2,0.005,10000,6604,0.6604,208,0.0314960629921259,63.30935148685239,pymatching
corner,Y,hybrid,3,2,0.01,10000,4508,0.4508,256,0.05678793256433,66.27622147486545,pymatching
corner,Y,hybrid,5,2,0.0001,330000,324272,0.9826424242424242,202,0.0006229338333251,65.6889198680874,pymatching
corner,Y,hybrid,5,2,0.0002,160000,154457,0.96535625,205,0.0013272302323624,60.66619596700184,pymatching
corner,Y,hybrid,5,2,0.0005,70000,64163,0.9166142857142856,219,0.0034131820519614,66.76273094303906,pymatching
corner,Y,hybrid,5,2,0.001,40000,33654,0.84135,228,0.0067748261722232,65.14300059108064,pymatching
corner,Y,hybrid,5,2,0.002,30000,21185,0.7061666666666667,289,0.0136417276374793,67.22765711508691,pymatching
corner,Y,hybrid,5,2,0.005,20000,8418,0.4209,318,0.0377761938702779,64.81629442889243,pymatching
corner,Y,hybrid,5,2,0.01,20000,3519,0.17595,283,0.0804205740267121,66.19305863510817,pymatching
corner,Y,hybrid,7,2,0.0001,340000,331007,0.97355,201,0.0006072379133976,67.31169114820659,pymatching
corner,Y,hybrid,7,2,0.0002,150000,142067,0.9471133333333334,206,0.0014500200609571,69.25796564016491,pymatching
corner,Y,hybrid,7,2,0.0005,70000,61045,0.8720714285714286,209,0.003423703825047,65.68011678010225,pymatching
corner,Y,hybrid,7,2,0.001,50000,38036,0.76072,243,0.0063886844042486,62.67410816415213,pymatching
corner,Y,hybrid,7,2,0.002,30000,17568,0.5856,217,0.0123520036429872,65.18286113999784,pymatching
corner,Y,hybrid,7,2,0.005,30000,7927,0.2642333333333333,282,0.0355746183928346,64.17376060294919,pymatching
corner,Y,hybrid,7,2,0.01,40000,2818,0.07045,250,0.0887154009936125,66.79012033808976,pymatching
middle,Z,full_postselection,3,2,0.0001,920000,910697,0.9898880434782608,201,0.0002207100715166,36.14956254605204,pymatching
middle,Z,full_postselection,3,2,0.0002,550000,538841,0.9797109090909092,203,0.000376734509809,35.15806578705087,pymatching
middle,Z,full_postselection,3,2,0.0005,210000,199351,0.9492904761904762,203,0.0010183043977707,34.165015620877966,pymatching
middle,Z,full_postselection,3,2,0.001,110000,99296,0.9026909090909092,207,0.0020846761198839,33.63071612897329,pymatching
middle,Z,full_postselection,3,2,0.002,60000,48847,0.8141166666666667,206,0.004217249779925,34.637283654883504,pymatching
middle,Z,full_postselection,3,2,0.005,40000,23824,0.5956,252,0.0105775688381464,34.631132228067145,pymatching
middle,Z,full_postselection,3,2,0.01,30000,10919,0.3639666666666666,256,0.0234453704551698,34.60933245695196,pymatching
middle,Z,full_postselection,5,2,0.0001,1040000,1006534,0.967821153846154,203,0.0002016822084499,34.10907006985508,pymatching
middle,Z,full_postselection,5,2,0.0002,630000,590469,0.937252380952381,205,0.0003471816471313,34.60653254319914,pymatching
middle,Z,full_postselection,5,2,0.0005,270000,229308,0.8492888888888889,201,0.0008765503166047,33.65251759788953,pymatching
middle,Z,full_postselection,5,2,0.001,160000,115397,0.72123125,225,0.0019497907224624,34.10916955117136,pymatching
